"Default,""spolovi"",""zupanija"",""traj.rad.odn"",""izn.kre"",""udio.rate"",""br.cl"""
"1,""Z"",""5"",""7"",""40000"",""14"",""1"""
"1,""M"",""2"",""13"",""60000"",""22"",""3"""
"1,""M"",""16"",""27"",""25000"",""18"",""3"""
"0,""Z"",""6"",""12"",""30000"",""23"",""0"""
"1,""Z"",""8"",""5"",""35000"",""15"",""1"""
"1,""Z"",""14"",""2.5"",""20000"",""31"",""2"""
"0,""M"",""19"",""3.5"",""15000"",""16"",""0"""
"0,""Z"",""5"",""27"",""80000"",""32"",""0"""
"1,""M"",""8"",""12.5"",""60000"",""15"",""1"""
"1,""M"",""14"",""13.5"",""60000"",""22"",""1"""
"0,""Z"",""19"",""16.5"",""55000"",""12"",""0"""
"1,""M"",""21"",""6"",""70000"",""15"",""1"""
"0,""M"",""21"",""5.5"",""145000"",""25"",""0"""
"1,""Z"",""3"",""7"",""85000"",""26"",""1"""
"1,""M"",""19"",""15.5"",""35000"",""16"",""2"""
"0,""M"",""12"",""25"",""15000"",""13"",""0"""
"1,""Z"",""20"",""8"",""95000"",""32"",""1"""
"1,""Z"",""15"",""4.5"",""40000"",""26"",""3"""
"1,""M"",""18"",""10"",""60000"",""22"",""1"""
"1,""Z"",""16"",""13"",""60000"",""20"",""1"""
"1,""Z"",""21"",""10"",""1e+05"",""25"",""3"""
"1,""M"",""19"",""21"",""85000"",""28"",""1"""
"1,""M"",""10"",""7"",""35000"",""28"",""1"""
"1,""M"",""12"",""16"",""45000"",""19"",""1"""
"1,""Z"",""3"",""11.5"",""80000"",""13"",""1"""
"1,""M"",""16"",""5.5"",""55000"",""21"",""1"""
"0,""Z"",""9"",""27"",""150000"",""18"",""0"""
"0,""Z"",""2"",""8"",""80000"",""18"",""0"""
"1,""M"",""17"",""22"",""55000"",""9"",""1"""
"1,""Z"",""17"",""2.5"",""65000"",""17"",""2"""
"1,""Z"",""12"",""5.5"",""85000"",""12"",""2"""
"1,""M"",""21"",""4.5"",""25000"",""25"",""2"""
"1,""M"",""18"",""25"",""45000"",""29"",""1"""
"1,""M"",""21"",""16.5"",""55000"",""16"",""3"""
"1,""Z"",""13"",""7.5"",""225000"",""22"",""1"""
"1,""Z"",""2"",""20.5"",""105000"",""18"",""4"""
"0,""M"",""18"",""11"",""80000"",""14"",""0"""
"1,""Z"",""15"",""18"",""125000"",""9"",""1"""
"1,""M"",""2"",""15.5"",""85000"",""45"",""4"""
"1,""M"",""3"",""10.5"",""45000"",""23"",""1"""
"0,""M"",""9"",""4.5"",""75000"",""27"",""0"""
"1,""Z"",""21"",""9.5"",""105000"",""32"",""2"""
"1,""Z"",""12"",""11"",""10000"",""13"",""1"""
"0,""M"",""8"",""2.5"",""70000"",""17"",""0"""
"1,""M"",""21"",""6"",""25000"",""12"",""1"""
"1,""Z"",""3"",""27"",""30000"",""20"",""1"""
"1,""M"",""2"",""27"",""280000"",""28"",""1"""
"1,""Z"",""20"",""2.5"",""40000"",""10"",""1"""
"1,""M"",""15"",""27"",""70000"",""22"",""3"""
