"ID" "stres" "glazba"
1 81 "Drama"
1 65 "Horror"
1 37 "Drama"
1 46 "Drama"
1 56 "Disney"
1 86 "Disney"
1 49 "Horror"
1 17 "Disney"
1 31 "Drama"
1 21 "Disney"
1 54 "Drama"
1 12 "Drama"
1 26 "Disney"
1 54 "Drama"
1 51 "Disney"
1 23 "Drama"
1 94 "Drama"
1 55 "Disney"
1 36 "Drama"
1 72 "Horror"
2 86 "Horror"
2 91 "Drama"
2 24 "Drama"
2 100 "Drama"
2 12 "Drama"
2 86 "Horror"
2 86 "Horror"
2 98 "Horror"
2 72 "Drama"
2 41 "Horror"
2 62 "Drama"
2 14 "Horror"
2 93 "Disney"
2 63 "Horror"
2 60 "Disney"
2 93 "Horror"
2 87 "Disney"
2 90 "Horror"
2 85 "Drama"
2 3 "Horror"
3 30 "Horror"
3 24 "Horror"
3 11 "Horror"
3 29 "Horror"
3 35 "Disney"
3 78 "Drama"
3 26 "Disney"
3 46 "Horror"
3 62 "Horror"
3 76 "Horror"
3 16 "Disney"
3 59 "Horror"
3 56 "Drama"
3 12 "Horror"
3 65 "Horror"
3 52 "Horror"
3 95 "Horror"
3 69 "Horror"
3 93 "Drama"
3 60 "Horror"
4 31 "Horror"
4 40 "Drama"
4 78 "Drama"
4 5 "Disney"
4 53 "Drama"
4 90 "Horror"
4 9 "Horror"
4 66 "Disney"
4 71 "Disney"
4 87 "Disney"
4 72 "Drama"
4 97 "Disney"
4 5 "Horror"
4 60 "Drama"
4 44 "Disney"
4 77 "Disney"
4 2 "Disney"
4 54 "Horror"
4 41 "Disney"
4 18 "Disney"
5 78 "Disney"
5 18 "Horror"
5 2 "Drama"
5 1 "Horror"
5 79 "Drama"
5 24 "Horror"
5 60 "Horror"
5 27 "Disney"
5 63 "Horror"
5 2 "Horror"
5 3 "Disney"
5 82 "Disney"
5 18 "Disney"
5 50 "Drama"
5 14 "Drama"
5 49 "Drama"
5 23 "Disney"
5 66 "Drama"
5 58 "Horror"
5 65 "Drama"
6 63 "Horror"
6 19 "Drama"
6 53 "Disney"
6 83 "Horror"
6 91 "Disney"
6 44 "Horror"
6 69 "Disney"
6 42 "Disney"
6 38 "Drama"
6 75 "Drama"
6 96 "Disney"
6 16 "Horror"
6 62 "Drama"
6 20 "Drama"
6 87 "Horror"
6 80 "Disney"
6 49 "Drama"
6 29 "Disney"
6 84 "Drama"
6 30 "Drama"
7 65 "Disney"
7 15 "Drama"
7 62 "Disney"
7 29 "Drama"
7 73 "Disney"
7 96 "Horror"
7 30 "Horror"
7 61 "Horror"
7 28 "Drama"
7 42 "Drama"
7 51 "Drama"
7 26 "Drama"
7 32 "Disney"
7 89 "Horror"
7 24 "Disney"
7 76 "Drama"
7 37 "Drama"
7 68 "Horror"
7 6 "Horror"
7 36 "Drama"
8 38 "Disney"
8 99 "Drama"
8 64 "Disney"
8 45 "Disney"
8 58 "Horror"
8 99 "Horror"
8 50 "Disney"
8 94 "Drama"
8 38 "Drama"
8 94 "Drama"
8 26 "Drama"
8 63 "Drama"
8 29 "Horror"
8 9 "Drama"
8 53 "Disney"
8 31 "Drama"
8 13 "Disney"
8 18 "Drama"
8 6 "Drama"
8 26 "Horror"
9 22 "Drama"
9 59 "Horror"
9 94 "Horror"
9 34 "Disney"
9 5 "Drama"
9 85 "Horror"
